Unnamed: 0,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude ,color
61342,7/3/2009 21:15,eau galle,wi,us,formation,1500,20-25 minutes,Formation of three seaparte red lights that appeared in foramtion but each light went up and disapeared on it&#39s own.,8/5/2009,44.6922222,-92.0113889,red
61346,7/3/2009 21:45,clyde,oh,us,light,240,4 minutes,Two bright orange white lights flying in formation over Clyde Ohio,8/5/2009,41.3041667,-82.9752778,orange
61350,7/3/2009 22:30,greer,sc,us,light,90,1.5 minutes,Bright red UFO with small white UFO that was deployed from the top.,8/5/2009,34.9386111,-82.2272222,red
61351,7/3/2009 23:05,lafayette,in,us,light,120,2 min.,A bright orange light&#44 traveling west&#44 then east&#44 before gaining altitude and fizzling out of sight.,8/5/2009,40.4166667,-86.8752778,orange
61361,7/3/2010 19:35,farallon (panama),,,oval,2,2 seconds,I was watching the planet Mars when suddenly I saw this white bright large oval object coming out of a cloud&#44 at an uncredible speed&#44 f,7/10/2010,33.386013,-112.612416,white
61364,7/3/2010 20:30,addison,tx,us,fireball,180,2-3 minutes,Two bright orange circular-type objects appearing at edge of a city park during 4th of July festivities,7/10/2010,32.9616667,-96.8288889,orange
61376,7/3/2010 21:30,zebulon,nc,us,unknown,3600,1 hour,20 or more red lights in the sky seen in North Carolina.,7/6/2010,35.8241667,-78.315,red
61380,7/3/2010 22:00,bonaparte,ia,us,fireball,900,5 to 15 min.,On july 3 2010 around 22:00 just before the fireworks show a orange and red orb just appeared over the des moines river and floated sou,7/10/2010,40.6980556,-91.8030556,orange
61382,7/3/2010 22:00,nordman,id,us,light,3600,1 hour,Strange slow moving orange light traveling from west to east then turned abruptly and disappeared.,7/6/2010,48.6338889,-116.9447222,orange
61384,7/3/2010 22:07,fostoria,oh,us,unknown,40,40 seconds,I and 8 others witnessed a fast moving object in the eastern sky moving south to north.  The object appeared to be orange in color and,7/6/2010,41.1569444,-83.4169444,orange
61386,7/3/2010 22:12,poteau,ok,us,sphere,180,2-3 minutes,Four orange spherical glowing lights moving slowly in formation at tree top level at 10 pm over Poteau&#44 OK.,7/6/2010,35.0536111,-94.6233333,orange
61388,7/3/2010 22:25,rohnert park,ca,us,fireball,15,about 15 seconds,Bright yellow fireball made right angle turn and disappeared.,8/24/2010,38.3397222,-122.7,yellow
61393,7/3/2010 22:42,riverside,ca,us,circle,60,1 minute approx.,Dull orange orb suddenly appears,7/6/2010,33.9533333,-117.3952778,orange
61394,7/3/2010 22:45,lacey,wa,us,formation,600,5 to 10 mins,Three orange lights in a triangle shape the lights looked like fire moving at a high rate of speed at a very high altitude,1/12/2012,47.0344444,-122.8219444,orange
61398,7/3/2010 23:00,bluffton,in,,fireball,60,1 min,came in red the changed white and moved very fast,7/10/2010,40.738658,-85.171637,red
61399,7/3/2010 23:00,fort wayne,in,us,circle,30,30 seconds,A slowly floating black circle with a faint red light in front,7/6/2010,41.1305556,-85.1288889,black
61401,7/3/2010 23:00,lansing,mi,us,fireball,180,3 minutes,bright orange glitterly light travels across sky and then dissapears,7/19/2010,42.7325000,-84.5555556,orange
61407,7/3/2010 23:40,kill devil hills,nc,us,formation,3600,1 hour,saw  two in sync circle formations cicleing around eachother&#44v line formation&#44single and multiple orange glowing crafts.slow with pace,7/6/2010,36.0305556,-75.6763889,orange
61408,7/3/2010 23:50,cincinnati,in,us,oval,600,5-10 minutes,8-10 orange oval-like silent low flying objects fly over Eastern Greene Co.&#44 IN on July 3&#44 2010 11:50pm - East to West,7/19/2010,39.0200000,-86.7288889,orange
61412,7/3/2011 03:00,charlotte,nc,us,light,240,3 or 4 minutes,A couple dozen orange lights traveling against the wind.  ((NUFORC Note:  Very reliable and convincing  witness.  PD)),7/4/2011,35.2269444,-80.8433333,orange
